Country,object
USA,AT&T Inc. -T
USA,"Delta Air Lines, Inc. -DAL"
USA,Abbott Laboratories -ABT
USA,"Under Armour, Inc. -UA"
USA,"American International Group, Inc. -AIG"
USA,Accenture plc -ACN
USA,AbbVie Inc. -ABBV
USA,Allergan plc -AGN
USA,Apache Corporation -APA
USA,Anadarko Petroleum Corporation -APC
USA,"Annaly Capital Management, Inc. -NLY"
USA,"Palo Alto Networks, Inc. -PANW"
USA,Deutsche Bank Aktiengesellschaft -DB
USA,"Air Products and Chemicals, Inc. -APD"
USA,Novartis AG -NVS
USA,"Agilent Technologies, Inc. -A"
USA,"AutoZone, Inc. -AZO"
USA,"AutoNation, Inc. -AN"
USA,AstraZeneca PLC -AZN
USA,"ARMOUR Residential REIT, Inc. -ARR"
USA,AK Steel Holding Corporation -AKS
USA,AllianceBernstein Holding L.P. -AB
USA,Credit Suisse Group AG -CS
USA,"Ameriprise Financial, Inc. -AMP"
USA,"Avon Products, Inc. -AVP"
USA,"American Eagle Outfitters, Inc. -AEO"
USA,Novo Nordisk A/S -NVO
USA,"Alaska Air Group, Inc. -ALK"
USA,"Plains All American Pipeline, L.P. -PAA"
USA,"Advance Auto Parts, Inc. -AAP"
USA,Federal National Mortgage Association -FNMA
USA,First Majestic Silver Corp. -AG
USA,"AvalonBay Communities, Inc. -AVB"
USA,Yamana Gold Inc. -AUY
USA,Ashland Global Holdings Inc. -ASH
USA,Aon plc -AON
USA,"AmeriGas Partners, L.P. -APU"
USA,Alliance Data Systems Corporation -ADS
USA,"Acuity Brands, Inc. -AYI"
USA,AECOM -ACM
USA,"Arrow Electronics, Inc. -ARW"
USA,"Apollo Commercial Real Estate Finance, Inc. -ARI"
USA,Antero Resources Corporation -AR
USA,"AMC Entertainment Holdings, Inc. -AMC"
USA,"Aqua America, Inc. -WTR"
USA,Booz Allen Hamilton Holding Corporation -BAH
USA,"Avnet, Inc. -AVT"
USA,"Assurant, Inc. -AIZ"
USA,Science Applications International Corporation -SAIC
USA,Arlington Asset Investment Corp. -AI
USA,Western Asset Mortgage Capital Corporation -WMC
USA,Aluminum Corporation Of China Limited -ACH
USA,Alleghany Corporation -Y
USA,Voxeljet AG -VJET
USA,"Apollo Global Management, LLC -APO"
USA,Alamo Group Inc. -ALG
USA,A.H. Belo Corporation -AHC
USA,"Mid-America Apartment Communities, Inc. -MAA"
USA,Brookfield Asset Management Inc. -BAM
USA,Atlantic Power Corporation -AT
USA,Arcos Dorados Holdings Inc. -ARCO
USA,"Arista Networks, Inc. -ANET"
USA,AAR Corp. -AIR
USA,Westinghouse Air Brake Technologies Corporation -WAB
USA,Reliance Steel & Aluminum Co. -RS
USA,"Affiliated Managers Group, Inc. -AMG"
USA,"Allison Transmission Holdings, Inc. -ALSN"
USA,Assured Guaranty Ltd. -AGO
USA,Rockwell Automation Inc. -ROK
USA,AZZ Inc. -AZZ
USA,Aramark -ARMK
USA,Amira Nature Foods Ltd. -ANFI
USA,"American Midstream Partners, LP -AMID"
USA,"ALLETE, Inc. -ALE"
USA,"Ashford Hospitality Trust, Inc. -AHT"
USA,ABB Ltd -ABB
USA,"Spirit AeroSystems Holdings, Inc. -SPR"
USA,Delphi Automotive PLC -DLPH
USA,"CBL & Associates Properties, Inc. -CBL"
USA,"Banco Bilbao Vizcaya Argentaria, S.A. -BBVA"
USA,Aircastle Limited -AYR
USA,"Alexander & Baldwin, Inc. -ALEX"
USA,"Advanced Drainage Systems, Inc. -WMS"
USA,"Penske Automotive Group, Inc. -PAG"
USA,Ethan Allen Interiors Inc. -ETH
USA,Anixter International Inc. -AXE
USA,American Homes 4 Rent -AMH
USA,"AMETEK, Inc. -AME"
USA,Arthur J. Gallagher & Co. -AJG
USA,Ares Commercial Real Estate Corporation -ACRE
USA,Western Alliance Bancorporation -WAL
USA,"Healthcare Trust of America, Inc. -HTA"
USA,Actuant Corporation -ATU
USA,"Ascent Solar Technologies, Inc. -ASTI"
USA,"Alexandria Real Estate Equities, Inc. -ARE"
USA,"Argan, Inc. -AGX"
USA,"Asbury Automotive Group, Inc. -ABG"
USA,"Group 1 Automotive, Inc. -GPI"
USA,Axalta Coating Systems Ltd. -AXTA
USA,"Armstrong World Industries, Inc. -AWI"
USA,AU Optronics Corp. -AUO
USA,Autohome Inc. -ATHM
USA,Anworth Mortgage Asset Corporation -ANH
USA,"Alexander's, Inc. -ALX"
USA,Alamos Gold Inc. -AGI
USA,AerCap Holdings N.V. -AER
USA,Nordic American Offshore Ltd. -NAO
USA,"KAR Auction Services, Inc. -KAR"
USA,"Aerohive Networks, Inc. -HIVE"
USA,Fresenius Medical Care AG & Co. KGAA -FMS
USA,"CoreCivic, Inc. -CXW"
USA,"American Axle & Manufacturing Holdings, Inc. -AXL"
USA,"On Assignment, Inc. -ASGN"
USA,"Applied Industrial Technologies, Inc. -AIT"
USA,American Equity Investment Life Holding Company -AEL
